period,index_2025_100,status
2023-02,96.1,
2023-03,96.8,
2023-04,97.6,
2023-05,98,
2023-06,98,
2023-07,96.5,
2023-08,96.6,
2023-09,98.3,
2023-10,98.3,
2023-11,97.8,
2023-12,98,
2024-01,96.9,
2024-02,96.9,
2024-03,98,
2024-04,98.5,
2024-05,98.7,
2024-06,98.9,
2024-07,98,
2024-08,97.9,
2024-09,99,
2024-10,99.3,
2024-11,99.2,
2024-12,99.3,
2025-01,98.5,
2025-02,98.5,
2025-03,100.1,
2025-04,100.5,
2025-05,100.4,
2025-06,100.6,
2025-07,99.7,
2025-08,99.5,
2025-09,100.7,
2025-10,100.6,
2025-11,100.3,
2025-12,100.5,
2026-01,99.5,
2026-02,100,
2026-03,101.7,
2026-04,103.3,
2026-05,103.6,
2026-06,103.6,
2026-07,102.6,
2026-08,102.7,p
